#Years    WideImaging%    DeepImaging%    Prism%    NearbySNe    WideImagingFilters    DeepImagingFilters    WideImagingCadence    DeepImagingCadence    PrismCadence    RubinDDF    ZWide    ZDeep    WideImagingDeg^2    DeepImagingDeg^2    DispersionModel    MeanModelTraining    DistMod.fits                      
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    08                    5               True        0.5      2.3      0                   8.1                 NIRLower           True                 all_matrices/cov_mat_0120.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    08                    5               True        0.5      2.3      0                   8.1                 NIRLower           False                all_matrices/cov_mat_0121.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    10                    5               False       0.9      1.9      0                   10                  TwinsLower         True                 all_matrices/cov_mat_0122.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    10                    5               False       0.9      1.9      0                   10                  NIRLower           True                 all_matrices/cov_mat_0123.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    10                    5               False       0.9      1.9      0                   10                  NIRLower           False                all_matrices/cov_mat_0124.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    10                    5               True        0.9      1.9      0                   10                  TwinsLower         True                 all_matrices/cov_mat_0125.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    10                    5               True        0.9      1.9      0                   10                  NIRLower           True                 all_matrices/cov_mat_0126.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    10                    5               True        0.9      1.9      0                   10                  NIRLower           False                all_matrices/cov_mat_0127.fits    
0.500     000             000             32        00800        RRZYJ                 ZZRYJHF               04                    06                    5               False       0.3      1.2      0                   16                  TwinsLower         True                 all_matrices/cov_mat_0128.fits    
0.500     000             000             32        00800        RRZYJ                 ZZRYJHF               04                    06                    5               False       0.3      1.2      0                   16                  NIRLower           True                 all_matrices/cov_mat_0129.fits    
0.500     000             000             32        00800        RRZYJ                 ZZRYJHF               04                    06                    5               False       0.3      1.2      0                   16                  NIRLower           False                all_matrices/cov_mat_0130.fits    
0.500     000             000             32        00800        RRZYJ                 ZZRYJHF               04                    06                    5               True        0.3      1.2      0                   16                  TwinsLower         True                 all_matrices/cov_mat_0131.fits    
0.500     000             000             32        00800        RRZYJ                 ZZRYJHF               04                    06                    5               True        0.3      1.2      0                   16                  NIRLower           True                 all_matrices/cov_mat_0132.fits    
0.500     000             000             32        00800        RRZYJ                 ZZRYJHF               04                    06                    5               True        0.3      1.2      0                   16                  NIRLower           False                all_matrices/cov_mat_0133.fits    
0.500     000             000             30        00800        RRZYJH                YYJHF                 04                    10                    5               False       0.6      1.4      0                   15                  TwinsLower         True                 all_matrices/cov_mat_0134.fits    
0.500     000             000             30        00800        RRZYJH                YYJHF                 04                    10                    5               False       0.6      1.4      0                   15                  NIRLower           True                 all_matrices/cov_mat_0135.fits    
0.500     000             000             30        00800        RRZYJH                YYJHF                 04                    10                    5               False       0.6      1.4      0                   15                  NIRLower           False                all_matrices/cov_mat_0136.fits    
0.500     000             000             30        00800        RRZYJH                YYJHF                 04                    10                    5               True        0.6      1.4      0                   15                  TwinsLower         True                 all_matrices/cov_mat_0137.fits    
0.500     000             000             30        00800        RRZYJH                YYJHF                 04                    10                    5               True        0.6      1.4      0                   15                  NIRLower           True                 all_matrices/cov_mat_0138.fits    
0.500     000             000             30        00800        RRZYJH                YYJHF                 04                    10                    5               True        0.6      1.4      0                   15                  NIRLower           False                all_matrices/cov_mat_0139.fits    
0.500     000             000             28        00800        RRZYJ                 RZZYJH                10                    06                    5               False       0.4      1.2      0                   28                  TwinsLower         True                 all_matrices/cov_mat_0140.fits    
0.500     000             000             28        00800        RRZYJ                 RZZYJH                10                    06                    5               False       0.4      1.2      0                   28                  NIRLower           True                 all_matrices/cov_mat_0141.fits    
0.500     000             000             28        00800        RRZYJ                 RZZYJH                10                    06                    5               False       0.4      1.2      0                   28                  NIRLower           False                all_matrices/cov_mat_0142.fits    
0.500     000             000             28        00800        RRZYJ                 RZZYJH                10                    06                    5               True        0.4      1.2      0                   28                  TwinsLower         True                 all_matrices/cov_mat_0143.fits    
